Name;Source;Category
Flickr links [flickr-links];KONECT;Social
Douban [douban];KONECT;Social
Flixster [flixster];KONECT;Social
Orkut [orkut-links];KONECT;Social
Livemocha [livemocha];KONECT;Social
LiveJournal links [livejournal-links];KONECT;Social
Brightkite [loc-brightkite_edges];KONECT;Social
Facebook100/Rutgers89;ICON;Social
Facebook100/Carnegie49;ICON;Social
Facebook100/Johns Hopkins55;ICON;Social
Facebook100/Brandeis99;ICON;Social
Facebook100/Middlebury45;ICON;Social
Facebook100/Texas80;ICON;Social
Facebook100/Oklahoma97;ICON;Social
Facebook100/UNC28;ICON;Social
Facebook100/UVA16;ICON;Social
Facebook100/MSU24;ICON;Social
Facebook100/Rochester38;ICON;Social
Facebook100/Simmons81;ICON;Social
Facebook100/UIllinois20;ICON;Social
Facebook100/Bucknell39;ICON;Social
Facebook100/UGA50;ICON;Social
Facebook100/Northeastern19;ICON;Social
Facebook100/Santa74;ICON;Social
Facebook100/Smith60;ICON;Social
Facebook100/Emory27;ICON;Social
Facebook100/Haverford76;ICON;Social
Facebook100/Syracuse56;ICON;Social
Facebook100/GWU54;ICON;Social
Facebook100/Lehigh96;ICON;Social
Facebook100/Harvard1;ICON;Social
Facebook100/UChicago30;ICON;Social
Facebook100/UF21;ICON;Social
Facebook100/Stanford3;ICON;Social
Facebook100/Tufts18;ICON;Social
Facebook100/Swarthmore42;ICON;Social
Facebook100/Williams40;ICON;Social
Facebook100/American75;ICON;Social
Facebook100/UPenn7;ICON;Social
Facebook100/Trinity100;ICON;Social
Facebook100/Wisconsin87;ICON;Social
Facebook100/Wash U32;ICON;Social
Facebook100/Mississippi66;ICON;Social
Facebook100/UC33;ICON;Social
Facebook100/Duke14;ICON;Social
Facebook100/Auburn71;ICON;Social
Facebook100/UC64;ICON;Social
Facebook100/UConn91;ICON;Social
Facebook100/Vassar85;ICON;Social
Facebook100/UCSB37;ICON;Social
Facebook100/Virginia63;ICON;Social
Facebook100/Cal65;ICON;Social
Facebook100/FSU53;ICON;Social
Facebook100/Colgate88;ICON;Social
Facebook100/Wesleyan43;ICON;Social
Facebook100/Yale4;ICON;Social
Facebook100/JMU79;ICON;Social
Facebook100/Penn94;ICON;Social
Facebook100/MIT8;ICON;Social
Facebook100/UCLA26;ICON;Social
Facebook100/NYU9;ICON;Social
Facebook100/Villanova62;ICON;Social
Facebook100/Brown11;ICON;Social
Facebook100/UCF52;ICON;Social
Facebook100/Dartmouth6;ICON;Social
Facebook100/USC35;ICON;Social
Facebook100/Hamilton46;ICON;Social
Facebook100/Tennessee95;ICON;Social
Facebook100/UCSC68;ICON;Social
Facebook100/Tulane29;ICON;Social
Facebook100/UCSD34;ICON;Social
Facebook100/Princeton12;ICON;Social
Facebook100/BU10;ICON;Social
Facebook100/USFCA72;ICON;Social
Facebook100/Wake73;ICON;Social
Facebook100/Cornell5;ICON;Social
Facebook100/Wellesley22;ICON;Social
Facebook100/Vanderbilt48;ICON;Social
Facebook100/Mich67;ICON;Social
Facebook100/William77;ICON;Social
Facebook100/Georgetown15;ICON;Social
Facebook100/Baylor93;ICON;Social
Facebook100/Temple83;ICON;Social
Facebook100/Rice31;ICON;Social
Facebook100/Vermont70;ICON;Social
Facebook100/Bingham82;ICON;Social
Facebook100/Northwestern25;ICON;Social
Facebook100/MU78;ICON;Social
Facebook100/Pepperdine86;ICON;Social
Facebook100/BC17;ICON;Social
Facebook100/Amherst41;ICON;Social
Facebook100/Texas84;ICON;Social
Facebook100/Howard90;ICON;Social
Facebook100/Berkeley13;ICON;Social
Facebook100/Michigan23;ICON;Social
Facebook100/Maryland58;ICON;Social
Facebook100/Indiana69;ICON;Social
Facebook100/UMass92;ICON;Social
Facebook100/Maine59;ICON;Social
Facebook100/Oberlin44;ICON;Social
Facebook100/USF51;ICON;Social
Facebook100/Columbia2;ICON;Social
Facebook100/UC61;ICON;Social
Facebook100/Bowdoin47;ICON;Social
Facebook100/Notre Dame57;ICON;Social
musae-github;SNAP;Social
ego_social/facebook_combined;Netzschleuder;Social
ego_social/gplus_combined;Netzschleuder;Social
gemsec-Deezer/RO;SNAP;Social
gemsec-Deezer/HU;SNAP;Social
gemsec-Deezer/HR;SNAP;Social
soc_net_comms/dblp;Netzschleuder;Social
soc_net_comms/youtube;Netzschleuder;Social
foursquare_friendships/old;Netzschleuder;Social
foursquare_friendships/new;Netzschleuder;Social
Hyves [hyves];KONECT;Social
Flickr [flickrEdges];KONECT;Social
Catster [petster-friendships-cat];KONECT;Social
Dogster [petster-friendships-dog];KONECT;Social
Catster, Dogster [petster-carnivore];KONECT;Social
Hamsterster friendships [petster-friendships-hamster];KONECT;Social
Hamsterster full [petster-hamster];KONECT;Social
Gowalla [loc-gowalla_edges];KONECT;Social
musae-twitch/ES;SNAP;Social
musae-twitch/RU;SNAP;Social
musae-twitch/PTBR;SNAP;Social
musae-twitch/FR;SNAP;Social
musae-twitch/ENGB;SNAP;Social
musae-twitch/DE;SNAP;Social
facebook_organizations/M2;Netzschleuder;Social
facebook_organizations/L1;Netzschleuder;Social
facebook_organizations/M1;Netzschleuder;Social
facebook_organizations/L2;Netzschleuder;Social
marker_cafe;Netzschleuder;Social
AMiner scientific collaborations (2009)/AMiner DatabaseSys sub0 coauthors;ICON;Social
Erdős [pajek-erdos];KONECT;Social
arXiv astro-ph [ca-AstroPh];KONECT;Social
marvel_universe;Netzschleuder;Social
DBLP co-authorship [com-dblp];KONECT;Social
new_zealand_collab;Netzschleuder;Social
Actor collaborations [actor-collaboration];KONECT;Social
arXiv hep-th [ca-cit-HepTh];KONECT;Social
PGP web of trust (2004);ICON;Social
WHOIS AS Internet (2006);ICON;Technological
route_views/19980406;Netzschleuder;Technological
route_views/19981002;Netzschleuder;Technological
route_views/19981122;Netzschleuder;Technological
route_views/19991002;Netzschleuder;Technological
route_views/19980220;Netzschleuder;Technological
route_views/19991226;Netzschleuder;Technological
route_views/19980719;Netzschleuder;Technological
route_views/19980118;Netzschleuder;Technological
route_views/19971217;Netzschleuder;Technological
route_views/19991219;Netzschleuder;Technological
route_views/19990323;Netzschleuder;Technological
route_views/19980128;Netzschleuder;Technological
route_views/19971215;Netzschleuder;Technological
route_views/19980815;Netzschleuder;Technological
route_views/19980921;Netzschleuder;Technological
route_views/19980730;Netzschleuder;Technological
route_views/19980422;Netzschleuder;Technological
route_views/19980927;Netzschleuder;Technological
route_views/19980712;Netzschleuder;Technological
route_views/19980502;Netzschleuder;Technological
route_views/19971225;Netzschleuder;Technological
route_views/19990527;Netzschleuder;Technological
route_views/19980612;Netzschleuder;Technological
route_views/19980823;Netzschleuder;Technological
route_views/19990915;Netzschleuder;Technological
route_views/19971129;Netzschleuder;Technological
route_views/19991204;Netzschleuder;Technological
route_views/19990425;Netzschleuder;Technological
route_views/19971122;Netzschleuder;Technological
route_views/19990621;Netzschleuder;Technological
route_views/19990913;Netzschleuder;Technological
route_views/19980520;Netzschleuder;Technological
route_views/19981124;Netzschleuder;Technological
route_views/19971213;Netzschleuder;Technological
route_views/19991004;Netzschleuder;Technological
route_views/19990226;Netzschleuder;Technological
route_views/19981102;Netzschleuder;Technological
route_views/19980603;Netzschleuder;Technological
route_views/19991122;Netzschleuder;Technological
route_views/19981018;Netzschleuder;Technological
route_views/19981008;Netzschleuder;Technological
route_views/19981104;Netzschleuder;Technological
route_views/19990528;Netzschleuder;Technological
route_views/19980512;Netzschleuder;Technological
route_views/19980830;Netzschleuder;Technological
route_views/19980625;Netzschleuder;Technological
route_views/19990122;Netzschleuder;Technological
route_views/19980218;Netzschleuder;Technological
route_views/19971227;Netzschleuder;Technological
route_views/19990928;Netzschleuder;Technological
route_views/19990216;Netzschleuder;Technological
route_views/19990609;Netzschleuder;Technological
route_views/19980303;Netzschleuder;Technological
route_views/19980817;Netzschleuder;Technological
route_views/19990426;Netzschleuder;Technological
route_views/19980827;Netzschleuder;Technological
route_views/19990112;Netzschleuder;Technological
route_views/19990617;Netzschleuder;Technological
route_views/19990826;Netzschleuder;Technological
route_views/19990221;Netzschleuder;Technological
route_views/19980623;Netzschleuder;Technological
route_views/19991224;Netzschleuder;Technological
route_views/19990626;Netzschleuder;Technological
route_views/19990315;Netzschleuder;Technological
route_views/19971114;Netzschleuder;Technological
route_views/19980324;Netzschleuder;Technological
route_views/19980525;Netzschleuder;Technological
route_views/19981114;Netzschleuder;Technological
route_views/19990531;Netzschleuder;Technological
route_views/19980816;Netzschleuder;Technological
route_views/19980103;Netzschleuder;Technological
route_views/19971219;Netzschleuder;Technological
route_views/19971206;Netzschleuder;Technological
route_views/19981209;Netzschleuder;Technological
route_views/19980909;Netzschleuder;Technological
route_views/19990412;Netzschleuder;Technological
